model,BIC,harmonic mean,bridge sampling,thermodynamic integration
0,277499.3526785182,-408450.421148641,-408332.0874811149,-405136.9929577196
1,280872.4464780891,-405248.7670582291,-405081.54363430873,-405790.4587389316
2,278758.4746168498,-396341.5483142721,-396163.9158202356,-396738.9579597061
3,278884.7709343263,-402763.6369421899,-402602.9929698327,-403874.998252374
4,289218.8978958609,-405740.4860948394,-405586.0444708276,-405417.1986710944
5,269799.91720768955,-403193.9129091965,-403072.6904315193,-403453.0636004128
6,277612.2840923273,-405670.4962717135,-405500.8948593893,-406124.82527754817
7,269263.8852436912,-398959.84535706486,-398809.79476147215,-399453.167077698
8,272783.85752511234,-394862.4982482653,-394740.3811624249,-395744.1580850895
9,276204.75819367025,-399423.3445005021,-399303.09037034336,-399781.9162230841
10,289219.10384756967,-405796.69264192967,-405553.2389089571,-409888.54925065406
11,276488.9697863896,-399839.8800839946,-399714.835305017,-394580.2091538775
12,280224.29154248635,-412840.5597760768,-412716.9824565392,-416122.1519542403
13,276176.8195735873,-399438.6010281893,-399237.2733075824,-400144.0457520132
14,271752.3237339785,-406702.6250024652,-406546.1234451653,-407040.4515324428
15,278890.6640948287,-402727.6278930137,-402605.5025362696,-403779.1016209262
16,277175.87835044856,-408043.8745935208,-407845.8489241061,-408479.7862751907
17,282075.82163810305,-401457.4206572525,-401276.8411504914,-400534.0233685603
18,276213.429109462,-391799.5455563476,-391669.0892227498,-400222.7732841809
19,287860.4120216609,-400444.5229081436,-400324.549637872,-400899.8821096335
20,280276.837180998,-403367.91567474,-403212.0935400587,-403867.53780669376
21,272914.5746477397,-395056.8627970958,-394884.10503010143,-398883.62570384645
22,270893.88800428424,-398670.8654152088,-398499.5714753325,-398906.65022689593
23,271878.0006888958,-406233.0041388199,-406028.9256609957,-408260.8319935515
24,275875.86449931475,-404816.9509474471,-404635.5426353184,-405406.9207881958
25,276536.756459031,-399882.4244774146,-399710.0825720069,-400394.3423049977
26,271653.53206117084,-397936.1865026968,-397731.9333548311,-397959.236917888
27,275099.5916268417,-401430.3026054414,-401260.4070703961,-402640.8904949968
28,276114.31703511946,-406358.59303203336,-406173.0411808605,-406882.4452639107
29,275936.12552611943,-391398.1552427733,-391147.91902322497,-391971.5026292461
30,276172.2355465031,-406355.5297395431,-406181.5013768562,-406751.4231763381
31,279899.0150937778,-404405.66290023335,-404235.4294655384,-405613.3373911206
32,276224.78703442763,-391797.25702357816,-391545.896910159,-392082.00034060905
33,280851.3836887342,-387199.00506242376,-387019.7663203034,-376153.7961753308
34,288015.0322115713,-400543.7073780103,-400372.8111194238,-397214.6429659141
35,278996.9513440282,-402909.1602449477,-402692.8630322124,-403425.7158750181
36,274780.3894317264,-400978.08129193255,-400807.2264811105,-402224.0215087425
37,278882.99875909084,-402727.52597195975,-402555.6364300432,-394764.7139418467
38,280296.3853448344,-403334.1841162523,-403164.1163711738,-395313.1576012588
39,283588.3290688437,-405123.3153988151,-404949.9461580041,-389179.12881665525
40,284255.1549616257,-409956.9502020892,-409801.2497927055,-410235.7742574475
41,275260.1711749813,-401742.2894221373,-401535.220475218,-402194.3158342487
42,271324.43631430785,-403940.0213765482,-403809.7455927825,-404506.2171746174
43,274956.38468011987,-408910.0734432007,-408736.85157141177,-397278.1649887925
44,278468.8386142544,-395966.47199435055,-395761.4906155877,-396321.9122863298
45,280950.41106817644,-405325.1716554938,-405201.8656475315,-405707.3004125634
